    815004    703148    202340
    815006    703005    702224
    815008    703084    702389
    815010    703005    212022
    815012    703166    202316
    815014    703148    702373
    815018    703161    702215
    815028    703246    202304
    815030    703006    701123
    815034    703166    201128
    815036    703161    702348
    815040    703161    702321
    815042    703148    202376
    815046    703148    201058
    815048    703166    202298
    815052    703246    202248
    815054    703246    702217
    815056    703095    201150
    815058    703161    701109
    815060    703087    201032
    815062    703153    201004
    815066    703011    702309
    815068    703166    702398
    815070    703166    202208
    815074    703077    202228
    815076    703166    202246
    815078    703166    702207
    815082    703001    202212
    815102    703077    202334
    815104    703161    701127
    815106    703246    201034
    815108    703095    201050
    815114    703001    702365
    815116    703011    702206
    815118    703246    701071
    815124    703011    702323
    815126    703246    702371
    815130    703246    701029
    815134    703095         1
    815136    703166    201020
    815142    703148    201048
    815146    703011    202250
    815148    703084    202238
    815150    703161    702343
    815152    703087    202322
    815154    703166    201176
    815156    703246    702283
    815158    703148    702369
    815164    703161    201158
    815166    703077    201140
    815168    703246    701159
    815182    703166    701145
    815184    703087    702219
    815186    703161    202223
    815190    703084    702311
    815192    703095    702366
    815196    703077    201046
    815202    703001    201174
    815204    703095    702225
    815206    703148    702211
    815210    703006    202216
    815214    703095    201180
    815216    703087    702355
    815218    703095    201052
    815220    703006    702307
    815222    703246    702327
    815224    703001    702285
    815230    703153    202214
    815232    703001    702265
    815234    703087    201054
    815238    703095    202226
    815246         0    702381
    816004    703166    712514
    816006    703166    701034
    816008    703095    701102
    816010    703161    701010
    816016    703006    712522
    816020    703077    701153
    816028    703012    712516
    816030    703246    701081
    816032    703011    701101
    816034    703161    701077
    816038    703012    701139
    816040    703161    701014
    816042    703001    701055
    816044    703084    712608
    816050    703246    701110
    816058    703006    702246
    816060    703148    701119
    816062    703001    701168
    816066    703153    701166
    816068    703153    701160
    816070    703006    701063
    816072    703084    712433
    816080    703161    712660
    816086    703153    712414
    816092    703001    712510
    816094    703095    702207
    816098    703095    712416
    816114    703012    701103
    816116    703153    702259
    816120    703161    712508
    816122    703012    702332
    816126    703153    701170
    816136    703012    702345
    816140    703166    702284
    816142    703095    712527
    816144    703012    701028
    816148    703005    702213
    816156    703084    701064
    816158    703095    701042
    816164    703161    702279
    816168    703077    712477
    816174    703087    701008
    816178    703087    702378
    816182    703087    701002
    816202    703087    702294
    816210    703095    702361
    816214    703148    702329
    816220    814013    814006
